V4_1,data marking,time_codelist,time,geography_codelist,geography,estimate_codelist,estimate,measureofwellbeing_codelist,measure of wellbeing
40.41,,year ending,2015 Q3 - 2016 Q2,K02000001,United Kingdom,good,Good,happiness,Happiness
2.92,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
4.19,,year ending,2016 Q4 - 2017 Q3,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
8.13,,year ending,2014 Q3 - 2015 Q2,N92000002,Northern Ireland,mean-average,Mean Average,worthwhile,Worthwhile
7.59,,year ending,2011 Q4 - 2012 Q3,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.67,,year ending,2011 Q4 - 2012 Q3,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
7.32,,year ending,2011 Q3 - 2012 Q2,S92000003,Scotland,mean-average,Mean Average,happiness,Happiness
31.29,,year ending,2011 Q3 - 2012 Q2,S92000003,Scotland,very-good,Very good,worthwhile,Worthwhile
48.99,,year ending,2016 Q1 - 2016 Q4,E92000001,England,good,Good,worthwhile,Worthwhile
7.54,,year ending,2012 Q3 - 2013 Q2,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.44,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
17.67,,year ending,2012 Q1 - 2012 Q4,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
7.67,,year ending,2014 Q4 - 2015 Q3,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.71,,year ending,2012 Q4 - 2013 Q3,S92000003,Scotland,mean-average,Mean Average,worthwhile,Worthwhile
34.23,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
51.92,,year ending,2014 Q2 - 2015 Q1,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
29.67,,year ending,2015 Q4 - 2016 Q3,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
7.88,,year ending,2016 Q2 - 2017 Q1,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
16.63,,year ending,2015 Q3 - 2016 Q2,K02000001,United Kingdom,fair,Fair,happiness,Happiness
13.72,,year ending,2013 Q4 - 2014 Q3,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
4.31,,year ending,2013 Q1 - 2013 Q4,E92000001,England,poor,Poor,worthwhile,Worthwhile
3.13,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
52.07,,year ending,2015 Q3 - 2016 Q2,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
13.12,,year ending,2013 Q1 - 2013 Q4,S92000003,Scotland,fair,Fair,worthwhile,Worthwhile
44.03,,year ending,2015 Q2 - 2016 Q1,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
34.35,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
34.16,,year ending,2014 Q2 - 2015 Q1,E92000001,England,very-good,Very good,worthwhile,Worthwhile
27.3,,year ending,2013 Q4 - 2014 Q3,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
26.22,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
51.16,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
7.8,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
40.09,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
50.74,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
51.63,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
7.54,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.53,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
5.64,,year ending,2012 Q3 - 2013 Q2,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
7.43,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
50.55,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
6.25,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
31.45,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
49.26,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
49.1,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
16.28,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
52.05,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
4.52,,year ending,2016 Q1 - 2016 Q4,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
15.92,,year ending,2013 Q2 - 2014 Q1,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
36.02,,year ending,2016 Q3 - 2017 Q2,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.48,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
16.58,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
43.09,,year ending,2015 Q3 - 2016 Q2,N92000002,Northern Ireland,very-good,Very good,worthwhile,Worthwhile
20.85,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
4.28,,year ending,2012 Q3 - 2013 Q2,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
8.03,,year ending,2015 Q1 - 2015 Q4,N92000002,Northern Ireland,mean-average,Mean Average,worthwhile,Worthwhile
15.82,,year ending,2014 Q2 - 2015 Q1,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
4.37,,year ending,2014 Q3 - 2015 Q2,W92000004,Wales,poor,Poor,worthwhile,Worthwhile
14.04,,year ending,2014 Q3 - 2015 Q2,N92000002,Northern Ireland,fair,Fair,happiness,Happiness
50.3,,year ending,2014 Q3 - 2015 Q2,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
7.1,,year ending,2011 Q2 - 2012 Q1,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
19.76,,year ending,2015 Q4 - 2016 Q3,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
11.26,,year ending,2015 Q1 - 2015 Q4,N92000002,Northern Ireland,fair,Fair,worthwhile,Worthwhile
7.69,,year ending,2011 Q3 - 2012 Q2,S92000003,Scotland,mean-average,Mean Average,worthwhile,Worthwhile
6.75,,year ending,2012 Q1 - 2012 Q4,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
14.66,,year ending,2013 Q2 - 2014 Q1,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
14.67,,year ending,2011 Q4 - 2012 Q3,W92000004,Wales,fair,Fair,worthwhile,Worthwhile
39.82,,year ending,2011 Q3 - 2012 Q2,E92000001,England,good,Good,happiness,Happiness
7.43,,year ending,2015 Q4 - 2016 Q3,W92000004,Wales,mean-average,Mean Average,happiness,Happiness
38.1,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
7.47,,year ending,2012 Q4 - 2013 Q3,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
52.04,,year ending,2015 Q4 - 2016 Q3,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
46.31,,year ending,2012 Q4 - 2013 Q3,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
8.48,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,poor,Poor,happiness,Happiness
34.71,,year ending,2016 Q2 - 2017 Q1,W92000004,Wales,very-good,Very good,worthwhile,Worthwhile
4.83,,year ending,2016 Q1 - 2016 Q4,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
14.07,,year ending,2014 Q4 - 2015 Q3,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
3.05,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
4.5,,year ending,2016 Q2 - 2017 Q1,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
7.77,,year ending,2013 Q3 - 2014 Q2,W92000004,Wales,mean-average,Mean Average,worthwhile,Worthwhile
7.66,,year ending,2014 Q3 - 2015 Q2,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.65,,year ending,2016 Q1 - 2016 Q4,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
23.59,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,good,Good,anxiety,Anxiety
14.62,,year ending,2015 Q3 - 2016 Q2,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
13.69,,year ending,2013 Q4 - 2014 Q3,E92000001,England,fair,Fair,worthwhile,Worthwhile
7.83,,year ending,2014 Q3 - 2015 Q2,E92000001,England,mean-average,Mean Average,worthwhile,Worthwhile
18.05,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
4.62,,year ending,2014 Q3 - 2015 Q2,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
51.3,,year ending,2012 Q4 - 2013 Q3,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
17.4,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
48.67,,year ending,2011 Q4 - 2012 Q3,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
9.27,,year ending,2013 Q4 - 2014 Q3,K02000001,United Kingdom,poor,Poor,happiness,Happiness
33.13,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
26.54,,year ending,2012 Q4 - 2013 Q3,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
28.75,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
3.62,,year ending,2016 Q1 - 2016 Q4,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
31.46,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,very-good,Very good,worthwhile,Worthwhile
51.34,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
52.12,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
14.81,,year ending,2012 Q2 - 2013 Q1,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
17.09,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,fair,Fair,happiness,Happiness
49.18,,year ending,2013 Q2 - 2014 Q1,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
15.68,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
13.08,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
29.97,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
13.53,,year ending,2013 Q4 - 2014 Q3,K02000001,United Kingdom,fair,Fair,worthwhile,Worthwhile
49.52,,year ending,2016 Q4 - 2017 Q3,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
13.75,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
48.08,,year ending,2011 Q2 - 2012 Q1,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
23.54,,year ending,2012 Q3 - 2013 Q2,K02000001,United Kingdom,good,Good,anxiety,Anxiety
23.37,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,good,Good,anxiety,Anxiety
3.09,,year ending,2016 Q2 - 2017 Q1,N92000002,Northern Ireland,poor,Poor,worthwhile,Worthwhile
3.94,,year ending,2015 Q2 - 2016 Q1,S92000003,Scotland,poor,Poor,worthwhile,Worthwhile
5.67,,year ending,2012 Q4 - 2013 Q3,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
33.31,,year ending,2014 Q3 - 2015 Q2,S92000003,Scotland,very-good,Very good,worthwhile,Worthwhile
14.62,,year ending,2014 Q3 - 2015 Q2,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
39.88,,year ending,2014 Q4 - 2015 Q3,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
40.75,,year ending,2014 Q4 - 2015 Q3,S92000003,Scotland,good,Good,happiness,Happiness
26.9,,year ending,2011 Q2 - 2012 Q1,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
16.15,,year ending,2011 Q2 - 2012 Q1,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
47.91,,year ending,2011 Q3 - 2012 Q2,W92000004,Wales,good,Good,worthwhile,Worthwhile
33.12,,year ending,2015 Q3 - 2016 Q2,S92000003,Scotland,very-good,Very good,worthwhile,Worthwhile
15.58,,year ending,2013 Q4 - 2014 Q3,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
15.84,,year ending,2012 Q2 - 2013 Q1,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
7.34,,year ending,2012 Q4 - 2013 Q3,E92000001,England,mean-average,Mean Average,happiness,Happiness
13.93,,year ending,2012 Q1 - 2012 Q4,N92000002,Northern Ireland,fair,Fair,worthwhile,Worthwhile
2.89,,year ending,2015 Q3 - 2016 Q2,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
16.18,,year ending,2016 Q3 - 2017 Q2,E92000001,England,fair,Fair,happiness,Happiness
4.94,,year ending,2011 Q2 - 2012 Q1,S92000003,Scotland,poor,Poor,worthwhile,Worthwhile
7.54,,year ending,2012 Q4 - 2013 Q3,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
40.49,,year ending,2014 Q1 - 2014 Q4,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
45.18,,year ending,2013 Q1 - 2013 Q4,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
47.25,,year ending,2016 Q1 - 2016 Q4,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
9.8,,year ending,2016 Q4 - 2017 Q3,N92000002,Northern Ireland,fair,Fair,worthwhile,Worthwhile
5.21,,year ending,2013 Q2 - 2014 Q1,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
50.76,,year ending,2015 Q1 - 2015 Q4,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
8,,year ending,2013 Q3 - 2014 Q2,N92000002,Northern Ireland,mean-average,Mean Average,worthwhile,Worthwhile
31.22,,year ending,2011 Q4 - 2012 Q3,E92000001,England,very-good,Very good,worthwhile,Worthwhile
3.94,,year ending,2013 Q4 - 2014 Q3,S92000003,Scotland,poor,Poor,worthwhile,Worthwhile
28.54,,year ending,2014 Q3 - 2015 Q2,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
4.67,,year ending,2015 Q4 - 2016 Q3,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
2.86,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
12.55,,year ending,2015 Q2 - 2016 Q1,W92000004,Wales,fair,Fair,worthwhile,Worthwhile
12.69,,year ending,2014 Q2 - 2015 Q1,N92000002,Northern Ireland,fair,Fair,worthwhile,Worthwhile
14.29,,year ending,2015 Q2 - 2016 Q1,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
16.37,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
7.87,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
5.17,,year ending,2013 Q4 - 2014 Q3,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
20.89,,year ending,2012 Q1 - 2012 Q4,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
7.44,,year ending,2012 Q1 - 2012 Q4,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.51,,year ending,2013 Q2 - 2014 Q1,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.84,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
52.1,,year ending,2015 Q4 - 2016 Q3,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
7.82,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
40.49,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,good,Good,happiness,Happiness
48.73,,year ending,2011 Q2 - 2012 Q1,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
14.52,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
2.91,,year ending,2013 Q3 - 2014 Q2,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
34.1,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
14.25,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
3.67,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
30.12,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.29,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
7.76,,year ending,2011 Q3 - 2012 Q2,N92000002,Northern Ireland,mean-average,Mean Average,worthwhile,Worthwhile
32.28,,year ending,2013 Q1 - 2013 Q4,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
7,,year ending,2011 Q3 - 2012 Q2,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
4.35,,year ending,2012 Q4 - 2013 Q3,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
49.36,,year ending,2012 Q4 - 2013 Q3,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
40.92,,year ending,2014 Q2 - 2015 Q1,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
50.43,,year ending,2015 Q3 - 2016 Q2,S92000003,Scotland,good,Good,worthwhile,Worthwhile
39.87,,year ending,2016 Q3 - 2017 Q2,N92000002,Northern Ireland,very-good,Very good,worthwhile,Worthwhile
12.46,,year ending,2016 Q1 - 2016 Q4,W92000004,Wales,fair,Fair,worthwhile,Worthwhile
14.26,,year ending,2014 Q1 - 2014 Q4,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
49.34,,year ending,2012 Q1 - 2012 Q4,E92000001,England,good,Good,worthwhile,Worthwhile
7.9,,year ending,2014 Q4 - 2015 Q3,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
47.77,,year ending,2011 Q3 - 2012 Q2,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
40.74,,year ending,2015 Q1 - 2015 Q4,E92000001,England,good,Good,happiness,Happiness
37.07,,year ending,2011 Q4 - 2012 Q3,N92000002,Northern Ireland,very-good,Very good,worthwhile,Worthwhile
4.92,,year ending,2012 Q1 - 2012 Q4,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
7.85,,year ending,2014 Q1 - 2014 Q4,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.85,,year ending,2016 Q3 - 2017 Q2,W92000004,Wales,mean-average,Mean Average,worthwhile,Worthwhile
49.84,,year ending,2013 Q1 - 2013 Q4,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
7.81,,year ending,2016 Q2 - 2017 Q1,S92000003,Scotland,mean-average,Mean Average,worthwhile,Worthwhile
32.07,,year ending,2012 Q4 - 2013 Q3,S92000003,Scotland,very-good,Very good,happiness,Happiness
39.88,,year ending,2016 Q4 - 2017 Q3,W92000004,Wales,good,Good,happiness,Happiness
16.68,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
7.67,,year ending,2012 Q4 - 2013 Q3,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
39.59,,year ending,2014 Q2 - 2015 Q1,N92000002,Northern Ireland,good,Good,worthwhile,Worthwhile
15,,year ending,2013 Q3 - 2014 Q2,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
23.14,,year ending,2015 Q2 - 2016 Q1,K02000001,United Kingdom,good,Good,anxiety,Anxiety
4.52,,year ending,2016 Q3 - 2017 Q2,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
28.4,,year ending,2014 Q2 - 2015 Q1,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
34.72,,year ending,2012 Q1 - 2012 Q4,N92000002,Northern Ireland,very-good,Very good,happiness,Happiness
3.97,,year ending,2014 Q1 - 2014 Q4,E92000001,England,poor,Poor,worthwhile,Worthwhile
5.03,,year ending,2016 Q4 - 2017 Q3,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
4.51,,year ending,2014 Q1 - 2014 Q4,W92000004,Wales,poor,Poor,worthwhile,Worthwhile
7.81,,year ending,2012 Q1 - 2012 Q4,N92000002,Northern Ireland,mean-average,Mean Average,worthwhile,Worthwhile
51.87,,year ending,2016 Q1 - 2016 Q4,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
7.64,,year ending,2014 Q4 - 2015 Q3,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
34.24,,year ending,2015 Q3 - 2016 Q2,W92000004,Wales,very-good,Very good,worthwhile,Worthwhile
40.4,,year ending,2015 Q4 - 2016 Q3,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
4.34,,year ending,2015 Q2 - 2016 Q1,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
13.09,,year ending,2014 Q4 - 2015 Q3,W92000004,Wales,fair,Fair,worthwhile,Worthwhile
7.52,,year ending,2016 Q3 - 2017 Q2,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
7.52,,year ending,2011 Q3 - 2012 Q2,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.53,,year ending,2011 Q2 - 2012 Q1,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.63,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
14.41,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
7.64,,year ending,2014 Q1 - 2014 Q4,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.46,,year ending,2016 Q4 - 2017 Q3,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
49.19,,year ending,2015 Q4 - 2016 Q3,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
40.59,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,good,Good,happiness,Happiness
40.39,,year ending,2015 Q4 - 2016 Q3,K02000001,United Kingdom,good,Good,happiness,Happiness
29.13,,year ending,2015 Q1 - 2015 Q4,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
49.42,,year ending,2012 Q3 - 2013 Q2,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
23.1,,year ending,2015 Q4 - 2016 Q3,K02000001,United Kingdom,good,Good,anxiety,Anxiety
19.97,,year ending,2013 Q4 - 2014 Q3,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
49.22,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
7.68,,year ending,2011 Q3 - 2012 Q2,K02000001,United Kingdom,mean-average,Mean Average,worthwhile,Worthwhile
7.3,,year ending,2011 Q4 - 2012 Q3,K02000001,United Kingdom,mean-average,Mean Average,happiness,Happiness
4.2,,year ending,2013 Q2 - 2014 Q1,K02000001,United Kingdom,poor,Poor,worthwhile,Worthwhile
34.22,,year ending,2014 Q3 - 2015 Q2,K02000001,United Kingdom,very-good,Very good,happiness,Happiness
14.1,,year ending,2013 Q2 - 2014 Q1,E92000001,England,fair,Fair,worthwhile,Worthwhile
48.9,,year ending,2016 Q2 - 2017 Q1,K02000001,United Kingdom,good,Good,worthwhile,Worthwhile
6.05,,year ending,2011 Q3 - 2012 Q2,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
41.29,,year ending,2014 Q4 - 2015 Q3,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
15.69,,year ending,2012 Q4 - 2013 Q3,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
39.63,,year ending,2011 Q4 - 2012 Q3,S92000003,Scotland,good,Good,happiness,Happiness
31.21,,year ending,2011 Q3 - 2012 Q2,E92000001,England,very-good,Very good,happiness,Happiness
11.93,,year ending,2014 Q4 - 2015 Q3,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
7.37,,year ending,2012 Q4 - 2013 Q3,W92000004,Wales,mean-average,Mean Average,happiness,Happiness
29.71,,year ending,2015 Q2 - 2016 Q1,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
7.88,,year ending,2012 Q3 - 2013 Q2,N92000002,Northern Ireland,mean-average,Mean Average,worthwhile,Worthwhile
7.52,,year ending,2016 Q4 - 2017 Q3,E92000001,England,mean-average,Mean Average,happiness,Happiness
15.94,,year ending,2011 Q4 - 2012 Q3,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
7.53,,year ending,2012 Q2 - 2013 Q1,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
32.05,,year ending,2013 Q1 - 2013 Q4,E92000001,England,very-good,Very good,worthwhile,Worthwhile
35.47,,year ending,2016 Q4 - 2017 Q3,E92000001,England,very-good,Very good,worthwhile,Worthwhile
52.2,,year ending,2014 Q4 - 2015 Q3,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
7.32,,year ending,2012 Q3 - 2013 Q2,E92000001,England,mean-average,Mean Average,happiness,Happiness
5.38,,year ending,2013 Q1 - 2013 Q4,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
18.23,,year ending,2011 Q2 - 2012 Q1,E92000001,England,fair,Fair,anxiety,Anxiety
40.71,,year ending,2014 Q3 - 2015 Q2,E92000001,England,good,Good,happiness,Happiness
16.8,,year ending,2012 Q4 - 2013 Q3,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
